Order No,Supplier Reference,Supplier Name,Order Reference,Status,Total,Carriage Total,Created At,Created By,Direct Delivery,Expected Delivery Date,Nett Goods Total,Order Date,Warehouse - Name,Weight Total
1,ARTSS001,All Artists Supplies Ltd,,[AWAITING_DELIVERY],736.80,0.00,2018-07-27T12:36:39.130,karen,FALSE,,614.00,,Stourport Pick,9.00
2,CHINA001,China Steel Industries pty,,"[AWAITING_DELIVERY, INVOICED]",5403.60,0.00,2018-07-27T14:14:47.042,karen,FALSE,,4560.00,,Stourport Bulk,0.00
3,MALVE001,Malvern Water ,,[AWAITING_DELIVERY],882.00,0.00,2018-07-27T14:21:01.239,karen,FALSE,,735.00,,Stourport Bulk,0.00
5,ARTSS001,All Artists Supplies Ltd,,[AWAITING_DELIVERY],154.22,0.00,2018-08-17T09:37:16.516,karen,FALSE,,122.40,,Stourport Pick,0.00
6,HOOSU001,Hoo Supplies China PTY,,[AWAITING_DELIVERY],17775.00,0.00,2018-08-17T11:07:45.979,karen,FALSE,,15000.00,,Kidderminster Bulk,0.00
7,COLAZ001,The Cola Fizz Factory,,[AWAITING_DELIVERY],40.00,0.00,2018-08-20T10:18:20.162,default,FALSE,,40.00,,Stourport Pick,0.00
8,HERON001,Heron Soft Furnishing Supplies Ltd,,[AWAITING_DELIVERY],1404.00,0.00,2018-08-24T14:13:46.969,karen,FALSE,,1170.00,,Stourport Bulk,0.00
9,HERON001,Heron Soft Furnishing Supplies Ltd,,[AWAITING_DELIVERY],312.00,0.00,2018-08-24T14:37:55.141,karen,FALSE,,260.00,,Stourport Bulk,0.00
10,BOWYE001,Bowyers Kitchens,,[AWAITING_DELIVERY],72.00,0.00,2018-08-29T16:35:16.847,karen,FALSE,,60.00,,Kidderminster Bulk,0.00
11,CHINA001,China Steel Industries pty,,[AWAITING_DELIVERY],42660.00,0.00,2018-08-29T16:36:03.297,karen,FALSE,,36000.00,,Stourport Bulk,0.00
12,HOOSU001,Hoo Supplies China PTY,,[AWAITING_DELIVERY],181.90,0.00,2018-09-24T10:23:39.133,karen,FALSE,,153.50,,Kidderminster Bulk,50.00
13,HARRY001,Harry's Arts and Crafts suppliers,,[AWAITING_DELIVERY],720.00,0.00,2018-11-20T10:50:37.997,karen,FALSE,,600.00,,Kidderminster Bulk,0.00
14,EXETR001,Supplier Warehouse,,[AWAITING_DELIVERY],1800.00,0.00,2018-11-20T10:52:39.695,karen,FALSE,,1500.00,,Kidderminster Bulk,0.00
15,ARTYS001,The Art Mart,,[AWAITING_DELIVERY],182.40,0.00,2019-02-25T14:44:54.471,karen,FALSE,,182.40,,Kidderminster Bulk,5.10
16,EXETR001,Supplier Warehouse,,[AWAITING_DELIVERY],1700.00,0.00,2019-02-28T11:28:26.998,mwalters,FALSE,,1700.00,,Stourport Pick,0.00
17,EXETR001,Supplier Warehouse,,[AWAITING_DELIVERY],8500.00,0.00,2019-02-28T16:40:12.058,mwalters,FALSE,,8500.00,,Stourport Pick,0.00
18,HERON001,Heron Soft Furnishing Supplies Ltd,123,[RECEIVED],182.40,0.00,2019-03-08T11:46:38.312,karen,FALSE,,152.00,08/03/2019,Kidderminster Bulk,30.00
19,CHINA001,China Steel Industries pty,a23,[AWAITING_DELIVERY],426.60,0.00,2019-03-14T15:37:00.665,karen,FALSE,,360.00,14/03/2019,Kidderminster Bulk,900.00
20,CHINA001,China Steel Industries pty,aa,"[AWAITING_DELIVERY, INVOICED]",711.00,0.00,2019-03-19T16:51:04.729,karen,FALSE,19/03/2019,600.00,19/03/2019,Stourport Pick,7.00
21,EXETR001,Supplier Warehouse,aw,[AWAITING_DELIVERY],21.60,0.00,2019-03-19T17:05:06.004,karen,FALSE,19/03/2019,18.00,19/03/2019,Kidderminster Bulk,10.00
22,CHINA001,China Steel Industries pty,weight chk,"[AWAITING_DELIVERY, INVOICED]",426.60,0.00,2019-03-20T12:51:01.196,karen,FALSE,21/03/2019,360.00,20/03/2019,Kidderminster Bulk,90.00
23,ARTSS001,All Artists Supplies Ltd,11,[AWAITING_DELIVERY],5.52,0.00,2019-04-04T10:17:12.102,karen,FALSE,06/04/2019,4.60,04/04/2019,Kidderminster Bulk,0.20
